Frequency (Hz)	Level (dB)
114.125000	-42.272285
114.250000	-41.590084
114.375000	-42.308060
114.500000	-42.287830
114.625000	-41.974213
114.750000	-42.893620
114.875000	-42.347092
115.000000	-42.340733
115.125000	-42.768528
115.250000	-41.905849
115.375000	-42.208618
115.500000	-42.164150
115.625000	-41.815792
115.750000	-42.667080
115.875000	-42.203705
116.000000	-42.537926
116.125000	-43.135876
116.250000	-42.357079
116.375000	-42.909142
116.500000	-42.963329
116.625000	-42.314247
116.750000	-42.988659
116.875000	-42.540005
117.000000	-42.285423
117.125000	-42.864513
117.250000	-42.109623
117.375000	-42.811699
117.500000	-43.172386
117.625000	-42.656147
117.750000	-43.402821
117.875000	-43.008060
118.000000	-42.905411
118.125000	-43.514374
118.250000	-42.768238
118.375000	-42.949417
118.500000	-43.241158
118.625000	-42.446129
118.750000	-43.140957
118.875000	-42.860081
119.000000	-42.747574
119.125000	-43.564445
119.250000	-42.980476
119.375000	-43.586475
119.500000	-39.390347
119.625000	-40.608692
119.750000	-46.172012
119.875000	-43.190639
120.000000	-42.826378
120.125000	-43.490467
120.250000	-42.968452
120.375000	-43.169243
120.500000	-43.714077
120.625000	-43.008839
120.750000	-43.703308
120.875000	-43.705154
121.000000	-43.431812
121.125000	-44.204086
121.250000	-43.633301
121.375000	-43.571922
121.500000	-44.005524
121.625000	-43.248611
121.750000	-43.598873
121.875000	-43.720264
122.000000	-43.134903
122.125000	-44.078804
122.250000	-43.539494
122.375000	-43.655590
122.500000	-44.284077
122.625000	-43.784828
122.750000	-44.278137
122.875000	-44.560833
123.000000	-43.930260
123.125000	-44.505291
123.250000	-43.854698
123.375000	-43.625435
123.500000	-44.180016
123.625000	-43.522564
123.750000	-43.959900
123.875000	-44.487812
124.000000	-43.898678
124.125000	-44.662685
124.250000	-44.404148
124.375000	-44.283493
124.500000	-44.903782
124.625000	-44.247627
124.750000	-44.365009
124.875000	-44.697926
125.000000	-43.964939
125.125000	-44.584839
125.250000	-44.345974
125.375000	-43.833492
125.500000	-44.803394
125.625000	-44.174767
125.750000	-44.576485
125.875000	-45.124489
126.000000	-44.549309
126.125000	-45.046627
126.250000	-45.061245
126.375000	-44.570942
126.500000	-45.335415
126.625000	-44.675919
126.750000	-44.585842
126.875000	-44.892719
127.000000	-44.209785
127.125000	-44.672291
127.250000	-44.899216
127.375000	-44.658794
127.500000	-45.611794
127.625000	-45.025379
127.750000	-45.225693
127.875000	-45.567543
128.000000	-44.920799
128.125000	-45.259979
128.250000	-45.431583
128.375000	-44.801918
128.500000	-45.510303
128.625000	-44.970581
128.750000	-44.863476
128.875000	-45.415939
129.000000	-44.694370
129.125000	-45.376606
129.250000	-45.586765
129.375000	-45.148022
129.500000	-46.059551
129.625000	-45.726196
129.750000	-45.439892
129.875000	-46.142647
130.000000	-45.346760
130.125000	-45.537636
130.250000	-45.692242
130.375000	-44.925476
130.500000	-45.532192
130.625000	-45.361347
130.750000	-45.128834
130.875000	-45.969952
131.000000	-45.409721
131.125000	-46.035946
131.250000	-46.264862
131.375000	-45.718704
131.500000	-46.323765
131.625000	-46.111034
